"JPMorgan Chase,JPMorgan Chse,JPMorgan Chae,JPMorgan Chse"
"Tata Consultancy Services,Tata Consultancy Servics,Tat Consultancy Services,Tat Consultancy Servics"
"Schweizerische Nationalbank,Schweizerische Natonalbank,Schweizerische Natinalbank,Schweizerische Natinalbank"
"Prologis,Prologis,Prologs,Prologs"
"Wanhua Chemical Group,Wanhua Chemcal Group,Wnuhua Chemical Group,Wnuhua Chemcal Group"
"Oneok,Onok,Onek,Onek"
"Analog Devices,Analog Devics,Analg Devices,Analg Devics"
"Parker-Hannifin,Parker-Hanifin,Paker-Hannifin,Paker-Hanifin"
"Baoshan Iron & Steel,Baoshan Iron & Stel,Baoshan Irn & Steel,Baoshan Irn & Stel"
"ArcelorMittal,ArcelorMital,AcelorMittal,AcelorMital"
"Nomura,Nomra,Nomra,Nomra"
"Bank Of Shanghai,Bank Of Shnghai,Bnk Of Shanghai,Bnk Of Shnghai"
"American Tower,American Twer,Amercan Tower,Amercan Twer"
"Hewlett Packard Enterprise,Hewlett Packard Enterprse,Hewlet Packard Enterprise,Hewlet Packard Enterprse"
"Marriott International,Marriott Internatonal,Marrit International,Marrit Internatonal"
"Regeneron Pharmaceuticals,Regeneron Pharmaceutcals,Regneron Pharmaceuticals,Regneron Pharmaceutcals"
"Intuit,Intit,Intut,Intut"
"Sysco,Syco,Sysco,Syco"
"Daikin Industries,Daikin Industris,Dakin Industries,Dakin Industris"
"Veolia Environnement,Veolia Environmnt,Volia Environnement,Volia Environmnt"
"Bridgestone,Bridgestne,Bridgstone,Bridgstone"
"Cummins,Cumins,Cummns,Cummns"
"Michelin Group,Michelin Grup,Michelin Groop,Michelin Groop"
"Komatsu,Komats,Komatsu,Komats"
"Pfizer,Pfizr,Pfzer,Pfzer"
"CSL,CS,CSL,CS"
"Keurig Dr Pepper,Keurig Dr Peper,Keurig Dr Ppper,Keurig Dr Ppper"
"Canadian Pacific Kansas City,Canadian Pacifc Kansas City,Canadin Pacific Kansas City,Canadin Pacifc Kansas City"
"Bank of Baroda,Bank of Barod,Bnk of Baroda,Bnk of Barod"
"CTBC Financial Holding,CTBC Financal Holding,CTBC Financl Holding,CTBC Financl Holding"
"Kotak Mahindra Bank,Kotak Mahindr Bank,Kotk Mahindra Bank,Kotk Mahindr Bank"
"TC Energy,TC Energey,T Energy,T Energey"
"Carrier Global,Carrier Glbal,Carier Global,Carier Glbal"
"Aon,Ao,Aon,Ao"
"Herm¨¨s International,Hermes International,Hermes Internatonal,Hermes Internatonal"
"Mitsubishi Heavy Industries,Mitsubishi Hevy Industries,Mitsubshi Heavy Industries,Mitsubshi Hevy Industries"
"Infineon Technologies,Infineon Technolgies,Infneon Technologies,Infneon Technolgies"
"Heineken,Heneiken,Heinekn,Heneiken"
"Boeing,Boing,Boein,Boing"
"Grupo Mexico,Grupo Mexco,Grpo Mexico,Grpo Mexco"
"London Stock Exchange,Londn Stock Exchange,London Stck Exchange,Londn Stck Exchange"
"Sherwin-Williams,Sherwin-Wlliams,Sherwin-Willams,Sherwin-Wllams"
"Dollar General,Dolar General,Dollr General,Dollr General"
"Baker Hughes Company,Baker Hughs Company,Bakr Hughes Company,Bakr Hughs Company"
"CRRC,CRC,CRRC,CRC"
"Bank Central Asia,Bank Centrall Asia,Bnk Central Asia,Bnk Centrall Asia"
"Boston Scientific,Boston Scientfic,Bostn Scientific,Bostn Scientfic"
"Naturgy Energy Group,Naturgy Energy Grup,Natrgy Energy Group,Natrgy Energy Grup"
"Saudi Electricity,Sudi Electricity,Saudi Electrcity,Sudi Electrcity"
"Softbank,Sofbank,Softban,Sofban"
"Wilmar International,Wilmar Internatonal,Wilmr International,Wilmr Internatonal"
"China Vanke,China Vnke,Chna Vanke,Chna Vnke"
"Maybank,Mybank,Maybnk,Mybnk"
"Hyundai Mobis,Hyundai Mobis,Hyundal Mobis,Hyundal Mobis"
"General Mills,General Mils,Generl Mills,Generl Mils"
"Canon,Cann,Canon,Cann"
"Consolidated Edison,Consolidated Edson,Consolidated Edisn,Consolidated Edisn"
"Kansai Electric Power,Kansai Electrc Power,Kansai Elecric Power,Kansai Elecric Power"
"Danone,Danon,Dnone,Dnone"
"BT Group,BT Grup,BT Groop,BT Groop"
"Bharti Airtel,Bharti Airtrl,Bharti Artel,Bharti Airtrl"
"Etisalat,Etislat,Etisalt,Etislat"
"OMV Group,OMV Grup,OMV Groop,OMV Groop"
"Fast Retailing,Fast Retailling,Fst Retailing,Fst Retailling"
"Carrefour,Carrefor,Carrefur,Carrefor"
"NetEase,NetEas,NetEase,NetEas"
"Compass Group,Compass Grup,Compas Group,Compas Grup"
"Principal Financial Group,Principal Financal Group,Principal Financl Group,Principal Financl Group"
"BCE,BC,BCE,BC"
"Prudential,Prudntial,Prudetial,Prudetial"
"Suzuki Motor,Suzuki Mtor,Suzki Motor,Suzki Mtor"
"FirstRand,FirstRand,FirstRad,FirstRad"
"Sun Hung Kai Properties,Sun Hung Kai Proprties,Sun Hung Kai Properties,Sun Hung Kai Proprties"
"Recruit Holdings,Recruit Holdngs,Rcruit Holdings,Rcruit Holdngs"
"Williams,Wiliams,Willams,Wiliams"
"Xcel Energy,Xcl Energy,Xcel Energey,Xcl Energey"
"Coal India,Col India,Coal Inda,Col Inda"
"Kuwait Finance House,Kuwait Finace House,Kwait Finance House,Kwait Finace House"
"Raymond James Financial,Raymond James Financal,Raymond Jmes Financial,Raymond Jmes Financal"
"Reckitt Benckiser Group,Reckitt Benckiser Grup,Reckit Benckiser Group,Reckit Benckiser Grup"
"China Coal Energy,China Coal Energey,Chna Coal Energy,Chna Coal Energey"
"Samsung C&T,Samsung C T,Samsng C&T,Samsng C T"
"Longfor Group Holdings,Longfor Group Holdngs,Longfor Grup Holdings,Longfor Grup Holdngs"
"Blackstone,Blakstone,Blckstone,Blckstone"
"Daiwa House Industry,Daiwa House Indstry,Dawa House Industry,Dawa House Indstry"
"Shaanxi Coal Industry,Shaanxi Coal Indstry,Shaani Coal Industry,Shaani Coal Indstry"
"China Merchants Shekou Industrial Zone Holdings,China Merchants Shekou Indstrial Zone Holdings,Chna Merchants Shekou Industrial Zone Holdings,Chna Merchants Shekou Indstrial Zone Holdings"
"Mitsui Fudosan,Mitsui Fudsan,Mitsui Fudosn,Mitsui Fudsan"
"Henkel,Hnkel,Henkl,Hnkel"
"Imperial Brands,Imperial Brnds,Imprial Brands,Imprial Brnds"
"Truist Financial,Truist Financal,Truist Financl,Truist Financl"
"L3Harris Technologies,L3Haris Technologies,L3Hrris Technologies,L3Hrris Technologies"
"Air Products & Chemicals,Air Products & Chemcals,Air Product & Chemicals,Air Product & Chemcals"
"Woodside Energy Group,Woodsid Energy Group,Woodside Energey Group,Woodsid Energey Group"
"Capgemini,Capgmini,Capgemni,Capgmini"
"NN Group,NN Grup,NN Groop,NN Groop"
"Legal & General Group,Legal & Genral Group,Legl & General Group,Legl & Genral Group"
"Republic Services,Republic Servics,Repblic Services,Repblic Servics"
"Halliburton,Hallibrton,Halliburtn,Halliburtn"
"Bouygues,Bouyges,Bouygues,Bouyges"
"Pernod Ricard,Pernod Ricrd,Perod Ricard,Perod Ricrd"
"Bristol Myers Squibb,Bristol Myrs Squibb,Bristol Myer Squibb,Bristol Myrs Squibb"
"Coca-Cola Europacific Partners,Coca-Cola Europcific Partners,Coca-Cola Europacfic Partners,Coca-Cola Europcific Partners"
"Yankuang Energy Group,Yankuang Energy Grup,Ynkuang Energy Group,Ynkuang Energy Grup"
"Markel,Markl,Markl,Markl"
"Huntington Bank,Huntington Bnk,Huntngton Bank,Huntngton Bnk"
"Tokyo Electric Power,Tokyo Eletric Power,Tokyo Electrc Power,Tokyo Electrc Power"
"CME Group,CME Grup,CM Group,CM Grup"
"STMicroelectronics,STMicroelectrnics,STMicroelectonics,STMicroelectonics"
"Swiss Life Holding,Swiss Life Holdng,Swis Life Holding,Swis Life Holdng"
"Edison International,Edison Internatonal,Edisn International,Edisn Internatonal"
"GE HealthCare Technologies,GE HealthCare Technolgies,GE HelthCare Technologies,GE HelthCare Technolgies"
"Thales,Thals,Thales,Thals"
"Canara Bank,Canara Bnk,Canra Bank,Canra Bnk"
"Isbank,Isbnk,Isbak,Isbak"
"Nutrien,Nutrin,Nutrien,Nutrin"
"British American Tobacco,British Amercan Tobacco,British Amercan Tobaco,British Amercan Tobaco"
"East Japan Railway,East Japan Railwy,Est Japan Railway,Est Japan Railwy"
"Central Japan Railway,Central Japan Railwy,Cntral Japan Railway,Cntral Japan Railwy"
"Bank of Nanjing,Bank of Nanjng,Bnk of Nanjing,Bnk of Nanjng"
"TE Connectivity,TE Conectivity,T Connectivity,T Conectivity"
"Power Finance,Power Fnance,Pwer Finance,Pwer Fnance"
"Royal Caribbean Group,Royal Caribben Group,Royal Caribbn Group,Royal Caribbn Group"
"HeidelbergCement,HeidelbergCemnt,HeidelbrgCement,HeidelbrgCemnt"
"AirBnB,AirBBn,ArBnB,ArBBn"
"Bharat Petroleum,Bharat Petrolum,Bhart Petroleum,Bhart Petrolum"
"LG Chem,LG Che,LG Cem,LG Che"
"Turkish Airlines,Turkish Airlnes,Turksh Airlines,Turksh Airlnes"
"Wuliangye Yibin,Wuliangye Ybn,Wuliangy Yibin,Wuliangy Ybn"
"Subaru Corporation,Subaru Corporatin,Subru Corporation,Subru Corporatin"
"Weichai Power,Wechai Power,Weicha Power,Wecha Power"
"Luxshare Precision Industry,Luxshare Precison Industry,Luxshre Precision Industry,Luxshre Precison Industry"
"Atlas Copco,Atls Copco,Atas Copco,Atas Copco"
"United Rentals,United Rentls,Unted Rentals,Unted Rentls"
"CNH Industrial,CNH Indstrial,CNH Industral,CNH Indstral"
"Loews,Lows,Loes,Loes"
"Entergy,Entergy,Entergey,Entergey"
"Quanta Computer,Quanta Comuter,Qunta Computer,Qunta Comuter"
"BASF,BSF,BASF,BSF"
"NXP Semiconductors,NXP Semiconductors,NXP Semicnductors,NXP Semicnductors"
"Lam Research,Lam Resarch,Lm Research,Lm Resarch"
"Vertex Pharmaceuticals,Vertex Pharmceuticals,Vertex Pharmaceutcals,Vertex Pharmceuticals"
"Citizens Financial Group,Citizens Financal Group,Citzens Financial Group,Citzens Financal Group"
"Xiamen C&D,Xiamen CD,Ximen C&D,Ximen CD"
"S.F. Holding,S.F. Hlding,S.F. Hodling,S.F. Hlding"
"Norfolk Southern,Norfolk Sothern,Nrfolk Southern,Nrfolk Sothern"
"Deutsche Boerse,Deutsche Borse,Deutsche Brose,Deutsche Borse"
"Intact Financial,Intact Financal,Intct Financial,Intct Financal"
"Fujifilm Holdings,Fujiflm Holdings,Fujifil Holdings,Fujifil Holdings"
"Everest Re Group,Everst Re Group,Everest R Group,Everst R Group"
"OTP Bank,OT Bank,OTP Bnk,OT Bnk"
"Trane Technologies,Trane Technolgies,Trne Technologies,Trne Technolgies"
"Inpex,Inpe,Inpex,Inpe"
"Wesfarmers,Wesfrmers,Wesfarmer,Wesfrmer"
"Colgate-Palmolive,Colgate-Palmoliv,Colgte-Palmolive,Colgte-Palmoliv"
"Samsung Life Insurance,Samsung Lfe Insurance,Samsng Life Insurance,Samsng Lfe Insurance"
"Haleon,Hleon,Haleon,Hleon"
"Infosys,Infosys,Infosy,Infosy"
"Devon Energy,Devon Energey,Dvon Energy,Dvon Energey"
"Punjab National Bank,Punjab Natinal Bank,Pnjab National Bank,Pnjab Natinal Bank"
"Publicis Groupe,Publicis Grup,Publcis Groupe,Publcis Grup"
"MediaTek,MediaTe,MediaTek,MediaTe"
"SK Hynix,SK Hynx,SK Hynx,SK Hynx"
"Gilead Sciences,Gilead Scinces,Gilead Scieces,Gilead Scinces"
"Union Bank of India,Union Bnk of India,Unin Bank of India,Unin Bnk of India"
"Abu Dhabi Commercial Bank,Abu Dhabi Commerial Bank,Abu Dabi Commercial Bank,Abu Dabi Commerial Bank"
"Gallagher,Gallaghr,Gallaghr,Gallaghr"
"International Airlines,International Airlnes,Internatonal Airlines,Internatonal Airlnes"
"Fujitsu,Fuitsu,Fujtsu,Fujtsu"
"Public Service Enterprise Group,Public Service Enterprse Group,Publc Service Enterprise Group,Publc Service Enterprse Group"
"Aptiv,Aptv,Aptiv,Aptv"
"Bayer,Bayr,Bayer,Bayr"
"China Zheshang Bank,China Zheshng Bank,Chna Zheshang Bank,Chna Zheshng Bank"
"George Weston,Georg Weston,George Wston,Georg Wston"
"Cardinal Health,Cardinal Helth,Cardnl Health,Cardnl Helth"
"Kubota,Kubta,Kubota,Kubta"
"Regions Financial,Regions Financal,Regins Financial,Regins Financal"
"Bunge,Bung,Bunge,Bung"
"Equitable Holdings,Equitble Holdings,Equtable Holdings,Equtable Holdings"
"China National Nuclear Power,China Natinal Nuclear Power,Chna National Nuclear Power,Chna Natinal Nuclear Power"
"Bajaj Finserv,Bajaj Finser,Bajaj Fiserv,Bajaj Fiserv"
"Mahindra & Mahindra,Mahindra Mahindra,Mahindra Mahindra,Mahindra Mahindra"
"Nintendo,Nintndo,Nintedo,Nintndo"
"Kenvue,Kenvu,Kenvue,Kenvu"
"National Bank of Kuwait,Natonal Bank of Kuwait,National Bnk of Kuwait,Natonal Bnk of Kuwait"
"Barrick Gold,Barrick Gld,Brrick Gold,Brrick Gld"
"Coinbase,Coinbse,Coinbase,Coinbse"
"Ecolab,Ecolb,Ecolab,Ecolb"
"AutoZone,AutoZne,Autoone,Autoone"
"Illinois Tool Works,Illinois Tool Work,Ilinois Tool Works,Ilinois Tool Work"
"DSV,DS,DV,DV"
"Standard Bank Group,Standard Bnk Group,Stndard Bank Group,Stndard Bnk Group"
"Associated British Foods,Associated Britsh Foods,Assoiated British Foods,Assoiated Britsh Foods"
"Lenovo Group,Lenovo Grup,Lenvo Group,Lenvo Grup"
"Northern Trust,Nortern Trust,Northern Trst,Nortern Trst"
"Reinsurance Group of America,Reinsurance Group of Ameria,Reinsurace Group of America,Reinsurace Group of Ameria"
"Nokia,Noka,Nokia,Noka"
"PKO Bank Polski,PKO Bank Polki,PK Bank Polski,PK Bank Polki"
"Ferguson,Fergson,Fergusn,Fergusn"
"Grupa PZU,Grupa PZ,Grpa PZU,Grpa PZ"
"IQVIA,IQVA,IQIA,IQIA"
"Woori Financial Group,Woori Financal Group,Wri Financial Group,Wri Financal Group"
"Edp-energias De Portugal,Edp-energias D Portugal,Edp-eneegias De Portugal,Edp-eneegias D Portugal"
"Hess,Hes,Hess,Hes"
"Naspers,Napers,Naspers,Napers"
"Swire Pacific,Swire Pafic,Swre Pacific,Swre Pafic"
"Kimberly-Clark,Kimberly-Clrk,Kimberly-Clak,Kimberly-Clak"
"China Tower Corp.,China Tower Cor.,Chna Tower Corp.,Chna Tower Cor."
"SingTel,SingTl,SngTel,SngTl"
"Chubu Electric Power,Chubu Elecric Power,Chbu Electric Power,Chbu Elecric Power"
"CMOC Group,CMOC Grup,CMOC Groop,CMOC Groop"
"Hengli Petrochemical,Hengli Petrochmical,Hngli Petrochemical,Hngli Petrochmical"
"QBE Insurance Group,QBE Insurnce Group,QE Insurance Group,QE Insurnce Group"
"Riyad Bank,Riyd Bank,Riyad Bnk,Riyd Bnk"
"Sinopharm Group,Sinopharm Grup,Sinopham Group,Sinopham Grup"
"Telef¨®nica,Telefonica,Telef¨®nica,Telefonica"
"Telstra,Telstr,Telsta,Telsta"
"Cognizant,Cogniznt,Cognzant,Cognzant"
"3M,M,M,M"
"Industrial Bank of Korea,Industrial Bank of Krea,Industral Bank of Korea,Industral Bank of Krea"
"NRG Energy,NRG Energey,NG Energy,NG Energey"
"CBRE Group,CBRE Grup,CRE Group,CRE Grup"
"Tokyo Electron,Tokyo Electrn,Toky Electron,Toky Electrn"
"Metallurgical Corp of China,Metallurgical Corp f China,Metalurgical Corp of China,Metalurgical Corp f China"
"Bank Of Hangzhou,Bank Of Hanghou,Bnk Of Hangzhou,Bnk Of Hanghou"
"CEZ Group,CE Grup,CEZ Groop,CE Groop"
"Micron Technology,Micron Technolgy,Micrn Technology,Micrn Technolgy"
"China Energy Engineering,China Energy Enginering,Chna Energy Engineering,Chna Energy Enginering"
"AerCap Holdings,AerCap Hldings,AerCp Holdings,AerCp Hldings"
"CGN Power,CG Power,CN Power,CN Power"
"Swisscom,Swiscom,Swisscm,Swisscm"
"Diamondback Energy,Diamondbck Energy,Diamndback Energy,Diamndbck Energy"
"New China Life Insurance,New China Lfe Insurance,New Chna Life Insurance,New Chna Lfe Insurance"
"JSW Steel,JSW Stel,JS Stel,JS Stel"
"RELX,RLX,REL,RLX"
"Raiffeisen Bank International,Raiffeisen Bnk International,Raffeisen Bank International,Raffeisen Bnk International"
"Asahi Group Holdings,Asahi Group Holdngs,Asah Group Holdings,Asah Group Holdngs"
"Bank Leumi,Bank L"
"Bank Leumi,Bnk Leumi,Bank Lumi,Bnk Lumi"
"DTE Energy,DTE Energey,DTE Enrgy,DTE Energe"
"Centrica,Centrica,Centrca,Centrica"
"Nu Holdings,N Holdings,Nu Holdngs,N Holdngs"
"Albertsons,Albertsons,Albertson,Albertson"
"Ally Financial,Aly Financial,Ally Financal,Aly Financal"
"Anglo American,Anglo Amrican,Anglo Americn,Anglo Amricn"
"GD Power Development,GD Power Develoment,GD Pwer Development,GD Pwer Develoment"
"FirstEnergy,FirstEnergey,FrstEnergy,FrstEnergey"
"PPG,PGG,PP,G"
"Bank Hapoalim,Bank Hapolim,Bnk Hapoalim,Bnk Hapolim"
"Tenet Healthcare,Tnet Healthcare,Tenet Helthcare,Tnet Helthcare"
"Ross Stores,Ros Stores,Ross Stors,Ros Stors"
"Global Payments,Global Paymnts,Globl Payments,Globl Paymnts"
"MercadoLibre,MercdoLibre,MercadoLibr,MercdoLibr"
"Anhui Conch Cement,Anhui Conch Cment,Anui Conch Cement,Anui Conch Cment"
"Deutsche Lufthansa,Deutsche Lufthasa,Deutshe Lufthansa,Deutshe Lufthasa"
"Akbank,Akbnk,Akbak,Akbnk"
"Inner Mongolia Yili,Inner Mongolia Yli,Iner Mongolia Yili,Iner Mongolia Yli"
"Teck Resources,Teck Resoures,Teck Resorces,Teck Resoures"
"Amphenol,Amphenl,Aphenol,Aphenl"
"Magna International,Magna Interntional,Magn International,Magn Interntional"
"Great Wall Motor,Great Wal Motor,Gret Wall Motor,Gret Wal Motor"
"Jardine Matheson,Jardine Mathson,Jardne Matheson,Jardne Mathson"
"Warner Bros. Discovery,Warner Bros. Disovery,Warner Bros. Dscovery,Warner Bros. Disovery"
"CIMB Group Holdings,CIMB Group Holdngs,CIMB Grup Holdings,CIMB Grup Holdngs"
"O'Reilly Automotive,O'Reily Automotive,O'Reilly Automtive,O'Reily Automtive"
"Asr Nederland,Asr Nederlnd,Asr Nderland,Asr Nderlnd"
"Daiichi Sankyo,Daiichi Sanky,Dichi Sankyo,Dichi Sanky"
"Tenaris,Tenris,Tnaris,Tnris"
"Constellation Brands,Constellation Brnds,Constelation Brands,Constelation Brnds"
"GE Vernova,GE Vernva,GE Verova,GE Verova"
"Continental,Continental,Contnental,Contnental"
"Samsung SDI,Samsung SD,Samsng SDI,Samsng SD"
"Huaneng Power International,Huaneng Power Internatonal,Huaneng Pwer International,Huaneng Pwer Internatonal"
"Hindalco Industries,Hindalco Indstries,Hindalco Industris,Hindalco Indstris"
"Banco de Sabadell,Banco de Sabadll,Banco de Sabadel,Banco de Sabadll"
"Bank of Ireland,Bank of Irland,Bnk of Ireland,Bnk of Irland"
"Aeon,Aeon,Aeon,Aeon"
"Sumitomo Mitsui Trust,Sumitomo Mitsi Trust,Sumitomo Mitsu Trust,Sumitomo Mitsi Trust"
"Walgreens Boots Alliance,Walgreens Boots Alance,Walgreens Boots Allance,Walgreens Boots Alance"
"NEC,NE,NC,NC"
"Idemitsu Kosan,Idemitsu Ksan,Idemitsu Kosn,Idemitsu Ksan"
"Vistra Energy,Vstra Energy,Vistra Energey,Vstra Energey"
"W. R. Berkley,W. R. Berkly,W. R. Berkle,W. R. Berkly"
"Corteva,Cortva,Cortev,Cortva"
"Lincoln National,Lincoln Natonal,Linclon National,Linclon Natonal"
"WEC Energy Group,WEC Energy Grup,WEC Energey Group,WEC Energey Grup"
"Singapore Airlines,Singapore Airlnes,Singapore Airines,Singapore Airlnes"
"Hikvision,Hikvisin,Hikvison,Hikvisin"
"Mitsubishi Estate,Mitsubshi Estate,Mitsubshi Estat,Mitsubshi Estat"
"Coupang,Coupng,Copang,Copng"
"Li Auto,L Auto,Li Ato,L Ato"
"ServiceNow,ServiceNow,ServiceNo,ServiceNo"
"Samsung Fire & Marine,Samsung Fire Marine,Samsng Fire & Marine,Samsng Fire Marine"
"China Hongqiao Group,China Hongqio Group,Chna Hongqiao Group,Chna Hongqio Group"
"Cincinnati Financial,Cincinnati Financal,Cincinnat Financial,Cincinnat Financal"
"KeyCorp,KeyCrp,KeyCor,KeyCrp"
"Block,Blck,Blok,Blck"
"PulteGroup,PulteGrup,PulteGrop,PulteGrop"
"Saudi British Bank,Sudi British Bank,Sudi Britsh Bank,Sudi Britsh Bank"
"JFE Holdings,JFE Holdngs,JF Holdings,JF Holdngs"
"Korea Electric Power,Korea Electric Pwer,Krea Electric Power,Krea Electric Pwer"
"Banco BPM,Banco BP,Bnco BPM,Bnco BP"
"Omnicom Group,Omnicom Grup,Omncom Group,Omncom Grup"
"EnBW Energie Baden-Wurttemberg,EnBW Energie Baden-Wurtemberg,EnBW Enrgie Baden-Wurttemberg,EnBW Enrgie Baden-Wurtemberg"
"ACS Actividades de Construccion y Servicios,ACS Actividades de Construcion y Servicios,ACS Actividades de Constuccion y Servicios,ACS Actividades de Construcion y Servicios"
"WW Grainger,WW Grainger,WW Granger,WW Granger"
"BOE Technology Group,BOE Technology Grup,BOE Technlogy Group,BOE Technlogy Grup"
"Equinix,Equinx,Equnix,Equnix"
"Nippon Yusen,Nippon Yusn,Nipon Yusen,Nipon Yusn"
"Emaar Properties,Emaar Proprties,Emar Properties,Emar Proprties"
"Kuehne & Nagel International,Kuehne Nagel International,Kuhne & Nagel International,Kuhne Nagel International"
"KLA,KLA,KLA,KLA"
"Porsche Automobil Holding,Porsche Automobl Holding,Porsche Automobil Hlding,Porsche Automobl Hlding"
"Crown Castle International,Crown Castle Internatonal,Crown Castl International,Crown Castl Internatonal"
"Eiffage,Eifage,Eiffge,Eiffge"
"Sekisui House,Sekisu House,Sekisui Hous,Sekisu Hous"
"Las Vegas Sands,Las Vegas Snds,Ls Vegas Sands,Ls Vegas Snds"
"Alcon,Alcn,Alcon,Alcn"
"VICI Properties,VICI Proprties,VICI Propirties,VICI Propirties"
"Simon Property Group,Simon Proprty Group,Smon Property Group,Smon Proprty Group"
"Genuine Parts,Genine Parts,Genune Parts,Genune Parts"
"Renesas Electronics,Renesas Electroncs,Renes Electronics,Renes Electroncs"
"Verbund,Verbund,Vrund,Vrund"
"China Resources Power,China Resoures Power,Chna Resources Power,Chna Resoures Power"
"Fidelity National Financial,Fidelity National Financal,Fidlity National Financial,Fidlity National Financal"
"eBay,eBy,eay,eay"
"Volvo Car,Volvo Cr,Volvo Ca,Volvo Ca"
"LG Electronics,LG Electronic,LG Electroncs,LG Electroncs"
"Emerson Electric,Emerson Elecric,Emrson Electric,Emrson Elecric"
"Palo Alto Networks,Palo Alto Netwoks,Plo Alto Networks,Plo Alto Netwoks"
"Assa Abloy,Ass Abl,Asa Abloy,Asa Abloy"
"Keyence,Keynce,Keynce,Keynce"
"Sumitomo Electric,Sumitomo Electic,Sumitmo Electric,Sumitmo Electic"
"Siemens Energy,Siemens Enrgy,Siemens Enrgey,Siemens Enrgy"
"Steel Dynamics,Steel Dynmics,Stel Dynamics,Stel Dynmics"
"Grasim Industries,Grasm Industries,Grasim Indstries,Grasm Indstries"
"Aluminum Corp of China,Aluminum Corp f China,Alumium Corp of China,Alumium Corp f China"
"Ashtead Group,Ashtead Grup,Ashted Group,Ashted Grup"
"Sika,Sik,Sika,Sik"
"Huatai Securities,Huati Securities,Huati Scurities,Huati Scurities"
"AIB Group,AIB Grup,AIB Grop,AIB Grop"
"Meritz Financial Group,Meritz Financal Group,Meritz Financil Group,Meritz Financil Group"
"Hong Kong Exchanges,Hong Kong Exchnges,Hong Kng Exchanges,Hong Kng Exchnges"
"Fortis,Fotis,Fotis,Fotis"
"Targa Resources,Targa Resoures,Trga Resources,Trga Resoures"
"Ryanair Holdings,Rynair Holdings,Ryanair Holdngs,Rynair Holdngs"
"3i Group,3 Group,3i Grup,3 Grup"
"Roper Technologies,Ropr Technologies,Roper Technlogies,Ropr Technlogies"
"VakifBank,VakfBank,VakifBnank,VakfBnank"
"Chongqing Changan Auto,Chongqing Changn Auto,Chongqing Changan Ato,Chongqing Changn Ato"
"MGM Resorts,MGM Resrts,MGM Rsorts,MGM Resrts"
"RenaissanceRe Holdings,RenaissanceRe Holdngs,RnaissanceRe Holdings,RnaissanceRe Holdngs"
"Huishang Bank,Huishng Bank,Huishang Bnk,Huishng Bnk"
"HCLTech,HCLTch,HCLTeh,HCLTch"
"Molina Healthcare,Molina Helthcare,Mlina Healthcare,Mlina Helthcare"
"Neste,Nste,Neste,Nste"
"Thomson Reuters,Thomson Reutes,Thomson Reutrs,Thomson Reutes"
"Aegon,Aegon,Aegon,Aegon"
"Bancolombia,Bncolombia,Bancolmbia,Bncolmbia"
"ASE Technology Holding,ASE Technlogy Holding,ASE Technology Hlding,ASE Technlogy Hlding"
"Rongsheng Petrochemical,Rongsheng Petochemical,Rongshng Petrochemical,Rongshng Petochemical"
"Resona Holdings,Resona Holdngs,Reson Holdings,Reson Holdngs"
"Jabil Circuit,Jbil Circuit,Jabil Circut,Jbil Circut"
"Grupo Inbursa,Grupo Inbrsa,Grpo Inbursa,Grpo Inbrsa"
"Biogen,Biogen,Biogen,Biogen"
"Daqin Railway,Daqin Railwy,Daqn Railway,Daqn Railwy"
"The Est¨¦e Lauder Companies,The Estee Lauder Companies,The Este Lauder Companies,The Este Lauder Companies"
"Suncorp Group,Sncorp Group,Suncop Group,Sncop Group"
"SSE,SE,SS,SE"
"Murata Manufacturing,Murata Manufactring,Murat Manufacturing,Murat Manufactring"
"Celanese,Celanese,Celnese,Celnese"
"TransDigm Group,TransDigm Grup,TransDgm Group,TransDgm Grup"
"Beijing-Shanghai High-Speed Railway,Beijing-Shanghai High-Speed Railay,Beijing-Shanghai Hgh-Speed Railway,Beijing-Shanghai Hgh-Speed Railay"
"Newmont,Newmont,Newmnt,Newmnt"
"Tyson Foods,Tson Foods,Tyson Fods,Tson Fods"
"Ageas,Agas,Ageas,Agas"
"Nidec,Nide,Nidc,Nidc"
"Zoetis,Zoets,Zoetis,Zoets"
"CK Asset Holdings,CK Asset Holdngs,CK Aset Holdings,CK Aset Holdngs"
"H&M - Hennes & Mauritz,H&M - Hennes Mauritz,H&M - Hnes & Mauritz,H&M - Hnes Mauritz"
"Public Bank,Pblic Bank,Public Bnk,Pblic Bnk"
"TELUS,TELUS,TELUS,TELUS"
"Sampo,Smpo,Sampo,Smpo"
"Best Buy,Bst Buy,Best uy,Bst uy"
"Galp Energia,Galp Energa,Glap Energia,Glap Energa"
"Shanghai Rural Commercial Bank,Shanghai Rural Commercal Bank,Shangai Rural Commercial Bank,Shangai Rural Commercal Bank"
"WTW,WT,WW,WW"
"Intuitive Surgical,Intutive Surgical,Intuive Surgical,Intuive Surgical"
"Otsuka Holding,Otska Holding,Otsuka Hlding,Otska Hlding"
"Unum Group,Unm Group,Unum Grup,Unm Grup"
"Universal Music Group,Universal Music Grup,Unversal Music Group,Unversal Music Grup"
"The Hershey Company,The Hershy Company,The Hershey Compny,The Hershy Compny"
"Otis Worldwide,Otis Worldwde,Ots Worldwide,Ots Worldwde"
"Digital Realty Trust,Digital Realty Trst,Digial Realty Trust,Digial Realty Trst"
