"people,peple,poeple,peoople"
"tone,toe,tne,tnne"
"window,wndow,windw,winow"
"agent,agnt,agt,agentt"
"band,bnd,bnd,bnd"
"block,blok,bloc,blck"
"bone,bne,bon,bonee"
"calendar,calndar,calendr,caledar"
"cap,cp,capp,capp"
"coat,cot,cot,coat"
"contest,contst,contet,conest"
"corner,cornr,cornr,cornerr"
"court,crt,cout,curt"
"cup,cup,cup,cupp"
"district,distrct,distrit,distrct"
"door,dor,dorr,door"
"east,est,est,east"
"finger,fnger,figer,finge"
"garage,garag,garag,garag"
"guarantee,guaratee,garantee,guaratee"
"hole,hol,holee,hole"
"hook,hok,hookk,hk"
"implement,implemnt,implemnt,implemnt"
"layer,layr,layr,layer"
"lecture,lectur,leture,lectue"
"lie,le,lee,liee"
"manner,maner,maner,manner"
"meeting,meting,meting,meetting"
"nose,nse,nosee,nosse"
"parking,parkin,parkg,parkiing"
"partner,parner,parter,partr"
"profile,proile,prfile,profle"
"respect,respectt,respct,respect"
"rice,rce,ricee,ric"
"routine,routine,rotine,rutine"
"schedule,schedule,shedule,schdule"
"swimming,swiming,swmming,simming"
"telephone,telepone,telephne,telepone"
"tip,tipp,tp,tipp"
"winter,wintr,wnter,winter"
"airline,airine,airlne,airline"
"bag,ba,bagg,bagg"
"battle,battle,batle,batle"
"bed,bedd,bd,bed"
"bill,bil,billl,biill"
"bother,bothe,bother,bother"
"cake,cake,cake,cke"
"code,cod,code,codee"
"curve,curv,curv,curvve"
"designer,designr,dsigner,desigener"
"dimension,dimnsion,dimenion,dimenion"
"dress,dres,dres,drss"
"ease,eas,ees,ease"
"emergency,emergncy,emergncy,emergncy"
"evening,evenng,evning,evenng"
"extension,extnsion,extnsion,extnsion"
"farm,farm,farmm,farm"
"fight,figt,fightt,figt"
"gap,gap,gap,gap"
"grade,grad,grde,grde"
"holiday,holidy,holidy,holiday"
"horror,horor,horr,hrrr"
"horse,hor,eorse,horsee"
"host,host,host,hostt"
"husband,husban,husbandd,husban"
"loan,lon,lan,loon"
"mistake,mistke,msitake,mstake"
"mountain,mountan,moountin,mountin"
"nail,naill,naill,naill"
"noise,noie,nise,nois"
"occasion,ocasion,ocasion,ocasn"
"package,packge,packge,packge"
"patient,patint,patiant,patent"
"pause,puse,pase,pause"
"phrase,phraase,phras,phras"
"proof,proof,proof,proof"
"race,race,race,racee"
"relief,releif,relief,relief"
"sand,sand,sand,sand"
"sentence,sentnce,senence,sentnce"
"shoulder,shouler,shouler,shouder"
"smoke,smok,smok,smoke"
"stomach,stomch,stomachh,stomch"
"string,strng,strng,strng"
"tourist,tourst,turist,tuorist"
"towel,towl,towl,towel"
"vacation,vacatin,vactin,vcation"
"west,wet,westt,west"
"wheel,whel,wheell,whee"
"wine,wne,wne,wie"
"arm,am,armm,amm"
"aside,asid,asid,asid"
"associate,associte,assciate,associae"
"bet,bet,bet,bet"
"blow,blow,blw,bloow"
"border,bordr,border,border"
"branch,brnch,brnch,branch"
"breast,brest,brest,breast"
"brother,brothr,brothr,brothr"
"buddy,budy,bddy,budd"
"bunch,bunh,bunc,bunc"
"chip,chip,chp,chip"
"coach,cach,cach,cach"
"cross,cros,cross,cros"
"document,documnt,docment,docment"
"draft,drft,drft,draft"
"dust,dust,dustt,dust"
"expert,exprt,exprt,exprt"
"floor,flor,flor,flor"
"god,gd,god,godd"
"golf,glf,golf,goff"
"habit,hbit,hbit,habiit"
"iron,iroon,irn,iron"
"judge,jdge,judg,judge"
"knife,knfe,knfe,knifee"
"landscape,lndscape,landscpe,landscpe"
"league,leage,leage,leauge"
"mail,ml,maill,mail"
"mess,mess,mess,mees"
"native,nativee,nativee,ntive"
"opening,opning,openingg,opning"
